S. No.,Proposal No.,Clearance Details,Project Name,Location,Project Proponent,Other Details,Issuing Authority,Proposal Status,Project_Description
1,SIA/MP/MIN/566175/2026,Clearance Type: Application for Validity Extension of EC- Form-6 S/W No.: SW/272780/2026,Rudhy Stone (Gitti) Quarry,MADHYA PRADESH,ashok etalkar,Category: B2 Sector: Non-Coal Mining Date of Submission: 20/01/2026,SEIAA,Proposal Accepted and Referred to SEAC,"It is a EC Extension project with a production capacity of 60,420 m3/year Gitti having a lease area of 3.20 hectares at Khasra No. 56 (pvt. land) Village - Rudhy, Tehsil- Khandwa, District- Khandwa (M.P.). Initially, the Environmental Clearance (EC) was granted in favor of Shri Ashok Etalkar, S/o Shri Devram Etalkar, by SEIAA, vide EC Identification No. EC21B001MP182099, File No. 8015/2020, dated 16/10/2021. The said Environmental Clearance was valid up to 17/11/2025. Accordingly, the project pr"
2,SIA/MP/INFRA2/561187/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/268409/2025","Proposed Construction of ""Hotel Taj""",MADHYA PRADESH,MANIKARAN COMMERCIALS PRIVATE LIMITED,Category: B2 Sector: INFRA-2 Date of Submission: 13/01/2026,SEIAA,Proposal Accepted and Referred to SEAC,"M/s Manikaran Commercials Pvt. Ltd. is proposing a construction of ""Hotel Taj"" at Plot B-82, Scheme No. 151, Super Corridor, Village Bada Bangarda,Tehsil Malharganj, District Indore (M.P.) with the plot measuring 17547.25 m2 ."
3,SIA/MP/MIN/554932/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/262936/2025",Khandwa Murrum Quarry (B2),MADHYA PRADESH,PAPPU CHOUDHARY,Category: B2 Sector: Non-Coal Mining Date of Submission: 15/01/2026,SEIAA,Proposal Accepted and Referred to SEAC,Murrum to be used in the work of civil construction/ road or railway project
4,SIA/MP/MIN/565487/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/272256/2026,Urahan Stone Quarry,MADHYA PRADESH,Om Shri Nath JI Stone Crusher,Category: B2 Sector: Non-Coal Mining Date of Submission: 14/01/2026,SEIAA,Referred to SEAC,"This is a Transfer Case. The Proposed Stone quarry site covers an area of 2.0 hectares, Khasra No.-1244, at Village - Urhana, Tehsil - Morena (Banmore), District - Morena, (M.P.), & Its production is 30,000 Cubic meters per year"
5,SIA/MP/MIN/564149/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/271142/2026,TILAI SAND QUARRY (1.60 Ha),MADHYA PRADESH,OMKAR DUBEY,Category: B2 Sector: Non-Coal Mining Date of Submission: 07/01/2026,SEIAA,DELISTED BY SYSTEM (at : 08/02/2026),"This is a new mine. Office of the District Collector (Khanij Branch) Mandla issued Letter of Intent (LOI) bearing no. Khanij 01/2024/1959, Mandla Dated- 23/12/2024 for grant of Tilai Sand Quarry located in Village- Tilai, Tehsil- Nainpur, District- Mandla, State- Madhya Pradesh over an area of 1.600 Ha area to The Madhya Pradesh State Mining Corporation Ltd. for a period of 5 years. The mining will be done by Mechanized Opencast mining method.The project falls under Schedule 1 (a) (i) of EIA Not"
6,SIA/MP/MIN/567176/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/230618/2025",SARASPURA STONE QUARRY,MADHYA PRADESH,KULDEEP PATIDAR,Category: B1 Sector: Non-Coal Mining Date of Submission: 29/01/2026,SEIAA,Under Verification,"It is a Stone Quarry with a production capacity of 5,000 m3/year Gitti, 5,000 m3/year M-Sand & Max. 3,509 m3/year Murrum having a lease area of 1.70 hectare, at Khasra No. 6 (Govt. land) Village - Saraspura, Tehsil- Sitamau, District- Mandsaur (M.P.)"
7,SIA/MP/MIN/555904/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/263812/2025",Akoda Soil Quarry,MADHYA PRADESH,sourabh sharma,Category: B2 Sector: Non-Coal Mining Date of Submission: 02/01/2026,SEIAA,Under Verification,"It is a Soil Quarry with a production capacity of 3,250 m3/year Soil having a lease area of 1.00 hectare, at Khasra No. 5610 & 5611 (Pvt. land) Village - Akoda Tehsil- Bhind, District- Bhind (M.P.)"
8,SIA/MP/MIN/538802/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/248366/2025",Biradei Stone Mine,MADHYA PRADESH,MAHAMAYA STONE,Category: B1 Sector: Non-Coal Mining Date of Submission: 08/01/2026,SEIAA,Standard ToR Granted,"Biradei Stone Mine (सैधांतिक आदेश पत्र क्रम्नक- 2694-97/खनिज/उ.प. /न.क्र. 10/2023 रीवा, दिनांक- 19/02/2023) is situated near Khasra Number- 310/1, 310/3, 310/8, 315/2, 315/4, 316/1/1, 316/2, 316/3, 316/4/1/2, 316/4/2, 316/5, 776, 777/1/2/1, 777/5/1, 777/5/2, 777/5/3, 777/5/4, 777/5/5 Village Biradei, Tehsil- Hanumana & District Rewa, and State Madhya Pradesh over an area of 7.703 ha. The concerned Mining Project is proposed by applicant M/s Mahamaya Stone Partner- Shri Alok Singh. The project pr"
9,SIA/MP/MIN/562502/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/269683/2025,Umriya Ojhi Crusher Stone Quarry,MADHYA PRADESH,RAM KISHOR SAHU,Category: B2 Sector: Non-Coal Mining Date of Submission: 07/01/2026,SEIAA,DELISTED BY SYSTEM (at : 08/02/2026),Stone is mined out and crusher as per market demand.
10,SIA/MP/MIN/567747/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/274320/2026",Badkud Stone Quarry,MADHYA PRADESH,B AGRAWAL & CO.,Category: B1 Sector: Non-Coal Mining Date of Submission: 03/02/2026,SEIAA,Under Examination,"It is a Stone quarry with a production capacity of Max 25,564 Cu.mt/Year Stone having a lease area of 1.80 hectares , previously EC was issued by DEIAA Singrauli at Khasra No.-1013, 1018 (Pvt. Land) Village - Badkud, Tehsil- Chitrangi, District- Singrauli (M.P.). Then on the basis of SEIAA policy decision taken in SEIAA agenda 766th Dated 11/01/2023 for DEIAA cases we are advised to apply a new application in Form-2 which is for 0 to 5 hectares . As our mine lease is falling in a cluster having "
11,SIA/MP/MIN/563296/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/270368/2025",BARPAN SAND QUARRY,MADHYA PRADESH,RAM SONI,Category: B1 Sector: Non-Coal Mining Date of Submission: 02/02/2026,SEIAA,Under Examination,"The Madhya Pradesh State Mining Corporation Limited proposes for sand excavation from a quarry lease area measuring 1.600 hectares, located in Khasra No’s. 199 (P), Barpan Village, Bahri Tehsil, Sidhi District, Madhya Pradesh. The mining activity will be carried out using an open-cast manual method. The entire lease area lies on government land (river bed area) Gopad River . The proposed annual sand excavation quantity is 14,400 Cum/ Year"
12,SIA/MP/INFRA2/563178/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/270093/2025","Medical College and Teaching Hospital (Project of Educational Institute) “M/s HK Kalchury Educational Trust (LNCT University Bhopal, MP)",MADHYA PRADESH,h k kalchuri education trust,Category: B2 Sector: INFRA-2 Date of Submission: 06/01/2026,SEIAA,DELISTED BY SYSTEM (at : ),"The proposed site is under Public and Semi Public (PSP) land use category. The proposed site is in possession of the project proponent. The site will be developed as per the provisions of building by-laws and regulations of Department of Town & Country Planning, Madhya Pradesh. Hence, change in land use is not anticipated. In the existing land use, there will be no shifting of utilities, no tree cutting and no displacement of people. The educational project shall be operated by the owned educati"
13,SIA/MP/MIN/511873/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/223058/2024","Environment Clearance (EC) for Bhatiyatola Dolomite Mine with proposed production of 19,583 TPA over area of 3.40 ha at Khasra No. 87 of Village Bhatiyatola, Tehsil Mainpur, District Mandla of Madhya Pradesh by M/s Alika Minerals.",MADHYA PRADESH,Hasnain bano POA Ms Alika Mineral,Category: B1 Sector: Non-Coal Mining Date of Submission: 06/02/2026,SEIAA,Under Examination,The lease is granted for dolomite mine of village Bhatiyatola Tehsil Mainpur District - Mandla
14,IA/MP/CMIN/565315/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/272107/2026","Proposed Arjuni West Coal Mine (Block Area: 1112.906 ha) with Proposed Coal Production Capacity: 1.00 Million TPA and Peak Rated Production Capacity: 1.50 Million TPA located at Villages: Arjuni, Majhigawan, Dhaurai, Patnar Khurd of Tehsil Pali, District: Umaria, Madhya Pradesh by M/s. Ganga Khanij Private Limited",MADHYA PRADESH,GANGA KHANIJ PRIVATE LIMITED,Category: A Sector: Coal Mining Date of Submission: 27/01/2026,MOEFCC,Standard ToR Granted,"Proposed Arjuni West Coal Mine (Block Area: 1112.906 ha) with Proposed Coal Production Capacity: 1.00 Million TPA and Peak Rated Production Capacity: 1.50 Million TPA located at Villages: Arjuni, Majhigawan, Dhaurai, Patnar Khurd of Tehsil Pali, District: Umaria, Madhya Pradesh by M/s. Ganga Khanij Private Limited"
15,SIA/MP/MIN/556294/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/264161/2025",Kesuni Stone Quarry for Gitti & M- Sand,MADHYA PRADESH,HARSH MEHTA,Category: B1 Sector: Non-Coal Mining Date of Submission: 01/01/2026,SEIAA,Standard ToR Granted,"The project is for mining of Stone for M-Sand Quarry in Survey No. 151/2 (Pvt. Land) situated in village Kesuni, Tehsil & District Ujjain , (M.P.) over an area of 1.00 Ha. of Shri Harsh Mehta S/o Shri Sanjay Mehta."
16,SIA/MP/MIN/564681/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271613/2026",Kata Mal - 2 Sand Quarry,MADHYA PRADESH,OMKAR DUBEY,Category: B1 Sector: Non-Coal Mining Date of Submission: 08/01/2026,SEIAA,Standard ToR Granted,"Sand Quarry on Banjar River, Located at Survey Nos. 1, 358, Kata Mal Village, Bichhiya Tehsil, Mandla District, Madhya Pradesh. Total lease area is 18.80 ha."
17,SIA/MP/MIN/564979/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271845/2026",Badwari Stone (Gitti & Boulder) Quarry,MADHYA PRADESH,grace infratech,Category: B1 Sector: Non-Coal Mining Date of Submission: 17/01/2026,SEIAA,Standard ToR Granted,"The proposed Badwari Stone (Gitti & Boulder) Quarry Project of M/s Grace Infratech involves mining of stone over a lease area of 4.00 hectares falling under Khasra Nos. 1523, 1534, and 1535 (Government Land), located at Village – Badwari, Tehsil- Morena (Banmore) & District – Morena, Madhya Pradesh, with a maximum production capacity of 100,000 m³/year of Gitti and 100,000 m³/year of Boulder."
18,SIA/MP/MIN/560461/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/267700/2025",Kamalpur Stone(Gitti & M Sand) Quarry,MADHYA PRADESH,jaisika shivhare,Category: B1 Sector: Non-Coal Mining Date of Submission: 03/01/2026,SEIAA,Standard ToR Granted,"It is a Stone Quarry with a production capacity of 20,000 m3/year Gitti and 50,000 m3/year of M-Sand having a lease area of 4.00 hectare, at Khasra No. 2861 (Govt. land) Village - Kamalpur, Tehsil- Pichore, District- Shivpuri (M.P.)"
