S. No.,Proposal No.,Clearance Details,Project Name,Location,Project Proponent,Other Details,Issuing Authority,Proposal Status,Project_Description
1,SIA/MH/INFRA2/564044/2026,Clearance Type: Application for Validity Extension of EC- Form-6 S/W No.: SW/271037/2026,Newa Techno City (India) Pvt. Ltd. Newa Bhakti Knowledge City.,MAHARASHTRA,Newa technocity (india) private limited,Category: B1 Sector: INFRA-2 Date of Submission: 06/01/2026,SEIAA,Referred to SEIAA,"PP has obtained an Environment Clearance (EC) letter No. SEAC2014/CR 320/TC II from SEIAA Maharashtra, dated 12/01/2016, for a total plot area of 52,610 m². The clearance covers an FSI area of 94,281 m², a Non‑FSI area of 1,09,230 m², and a total built‑up area of 2,03,511 m². Presently, only 78,978.70 m² of built‑up area has been constructed on‑site (FSI = 43,056.372 m² and Non‑FSI = 35,923.14 m²). As per the MoEF&CC Office Memorandum No. 1A3‑22/28/2022‑1A.111 [E 181584] dated 13/12/2022, the EC"
2,SIA/MH/MIN/563998/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271002/2026,"Transfer of EC of Shekapur Bai-2 Sand Ghat, Vana river , Vill. Shekapur Bai,Tq. Hinganghat Dist. Wardha, Nearest Gut No. 210, 206, 205, 204, 203, 202, 201,Area-1.60 Ha, Qty-3958 Brass in the name of M/s Chourasia Construction Company, Partner – Mr. Sandeep Suryakant Chourasia",MAHARASHTRA,CHOURASIA CoNSTRUCTION CO,Category: B2 Sector: Non-Coal Mining Date of Submission: 04/01/2026,SEIAA,EC Granted,"Transfer of EC of Shekapur Bai-2 Sand Ghat, Vana river , Vill. Shekapur Bai,Tq. Hinganghat Dist. Wardha, Nearest Gut No. 210, 206, 205, 204, 203, 202, 201,Area-1.60 Ha, Qty-3958 Brass in the name of M/s Chourasia Construction Company, Partner – Mr. Sandeep Suryakant Chourasia"
3,SIA/MH/INFRA2/568350/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/274761/2026","Proposed Industrial Shed by Franke Faber India Pvt. Ltd. at Gat no. 1086/1 & 1086 /2 Sanaswadi, Tal – Shirur Dist- Pune, 412208.",MAHARASHTRA,franke faber india private limited,Category: B2 Sector: INFRA-2 Date of Submission: 07/02/2026,SEIAA,Under Verification,"The Project is a Fresh EC project located at Gat no. 1086/1 & 1086 /2 Sanaswadi, Tal – Shirur, Dist.- Pune"
4,SIA/MH/MIN/566213/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/272883/2026,"EC Transfer of Walsa Khalsa Purna Sand Ghat Nearest Gut no 47, 49, 52, 55 Area-1.04 Ha, Qty- 3675 Brass , Village Walsa Khalsa Purna, Tq. Bhokardan Dist. Jalna by Shri. Rajesh Subhash Dolase.",MAHARASHTRA,RAJESH SUBHASH DOLASE,Category: B2 Sector: Non-Coal Mining Date of Submission: 20/01/2026,SEIAA,EC Granted,"EC Transfer of Walsa Khalsa Purna Sand Ghat Nearest Gut no 47, 49, 52, 55 Area-1.04 Ha, Qty- 3675 Brass , Village Walsa Khalsa Purna, Tq. Bhokardan Dist. Jalna by Shri. Rajesh Subhash Dolase."
5,SIA/MH/MIN/567492/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/274026/2026",Waghere Stone Quarry Project (Owner- Shri. Vinodkumar Arjunbhai Patel),MAHARASHTRA,VINODKUMAR ARJANBHAI PATEL,Category: B2 Sector: Non-Coal Mining Date of Submission: 02/02/2026,SEIAA,Proposal Accepted and Referred to SEAC,"Stone Quarry at Gut no.- 672/3 Part of village- Waghere, taluka- Igatpuri, District- Nashik, Maharashtra."
6,SIA/MH/MIN/564128/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/271125/2026,"Sand Ghat Proposal of Borale Sand Ghat Tq. Nandurbar Dist. Nandurbar,Nearest Gut no 1,2 ,Area-1.612 Ha Qty-11392 Brass, Tapi River",MAHARASHTRA,DMONANDURBAR,Category: B2 Sector: Non-Coal Mining Date of Submission: 05/01/2026,SEIAA,EC Granted,"Sand Ghat Proposal of Borale Sand Ghat Tq. Nandurbar Dist. Nandurbar,Nearest Gut no 1,2 ,Area-1.612 Ha Qty-11392 Brass, Tapi River"
7,SIA/MH/MIN/563616/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/270655/2025,"EC Transfer of Bhon Sand Ghat, Area 1.4 ha, Gut. no. 28 to 40, 213 to 216 Village Bhon, Tehsil Sangrampur, District Buldhana Maharashtra by Shri Gunwant Sadashiv Khodke",MAHARASHTRA,GUNAVANT SADASHIV KHODAKE,Category: B2 Sector: Non-Coal Mining Date of Submission: 01/01/2026,SEIAA,EC Granted,"EC Transfer of Bhon Sand Ghat, Area 1.4 ha, Gut. no. 28 to 40, 213 to 216 Village Bhon, Tehsil Sangrampur, District Buldhana Maharashtra by Shri Gunwant Sadashiv Khodke"
8,SIA/MH/INFRA2/567373/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/273915/2026","Proposed Industrial Shed at Gat No. 211/1, 212, 214, 215, 216, Plot No.2, Karadwadi, Taluka Khandala, Dist.- Satara by Flexipol Foams Pvt. Ltd.",MAHARASHTRA,FLEXIPOL FOAMS PVT LTD,Category: B2 Sector: INFRA-2 Date of Submission: 30/01/2026,SEIAA,Under Verification,Building and Construction Project (Industrial Shed)
9,SIA/MH/MIN/564528/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271479/2026,"Application of Transfer of Environmental Clearance Karatkhed Sand Ghat Proposal of Karatkhed Sand Ghat Tq. Daryapur Dist. Amravati, Nearest Gut no 38 to 40, 49 to 52, 54, Area-1.47 ha, Qty-2597 Brass from District Mining Officer, Amaravati to M/s- R.M. Earth Movers & Construction tarfe Pro. Gaurav Rameshrao Mesre",MAHARASHTRA,Gaurav RAmeshrao MesAre,Category: B2 Sector: Non-Coal Mining Date of Submission: 07/01/2026,SEIAA,EC Granted,Transfer of Environmental Clearance Karatkhed Sand Ghat
10,IA/MH/IND3/551272/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/155604/2023","Proposed expansion project for manufacturing of Chemical intermediates, Agro – intermediates, Pharma intermediates and Specialty Chemicals located at Plot No.s B-16,B-17, B-24 & B-25, MIDC area , Dasarkhed Tal - Malkapur, District Buldhana, Maharashtra by Benzo Chem Industries Pvt. Ltd.",MAHARASHTRA,BENZO CHEM INDUSTRIES PRIVATE LIMITED,Category: A Sector: Industrial Projects - 3 Date of Submission: 04/02/2026,MOEFCC,Under Examination,"Benzo Chem Industries Pvt Ltd. proposes expansion project for the manufacturing of Chemical intermediates, Agro –intermediates, Pharma intermediates and specialty chemicals at Plot Nos. B-16, B-17, B-24 and B-25, Dasarkhed Malkapur MIDC, Buldhana District, Maharashtra. The existing manufacturing capacity products is 895 MT/M as per the current CTO and the additional 481 MT/M totalling to 1376 MT/M on land admeasuring 31988 sq.m. The company’s products will be exported to major markets like USA, "
